id;contenu_co2;contenu_co2_acv;taux_enr;feges
8001C;0.078;0.104;0.628;0.104
8002C;0.072;0.124;0.519;0.124
8006C;0.007;0.027;0.969;0.027
8106C;0.049;0.078;0.857;0.078
8101C;0.2;0.243;0;0.243
8103C;0.034;0.057;0.873;0.057
8104C;0.055;0.079;0.789;0.079
8105C;0.035;0.058;0.876;0.058
8112C;0.003;0.024;0.992;0.024
8102C;0.051;0.075;0.82;0.075
8113C;0.014;0.04;0.965;0.04
8202C;0;0.022;1;0.022
8201C;0.013;0.019;0.951;0.019
8204C;0;0.022;1;0.022
8305C;0;0.022;1;0.022
8304C;0;0.004;1;0.004
8306C;0.362;0.439;0;0.439
8307C;0.082;0.133;0.483;0.133
8301C;0;0.004;1;0.004
8401C;0.094;0.238;0;0.238
8404C;0;0.004;1;0.004
8405C;0;0.004;1;0.004
8501C;0.205;0.231;0;0.231
8502C;0.073;0.105;0.787;0.105
8503C;0;0.019;1;0.019
8606C;0.11;0.248;0;0.248
8607C;0.198;0.214;0.355;0.214
8605C;0.075;0.11;0.802;0.11
8601C;0.091;0.116;0.652;0.116
8608C;0.206;0.224;0;0.224
8610C;0.058;0.086;0.783;0.086
8703C;0.231;0.259;0;0.259
8701C;0;0.093;0.718;0.093
8702C;0.002;0.006;0.993;0.006
8704C;0.108;0.27;0;0.27
8707C;0.041;0.064;0.843;0.064
8816C;0;0.034;1;0.034
8819C;0;0.02;1;0.02
8801C;0;0.071;0.873;0.071
8807C;0.124;0.152;0.501;0.152
8811C;0;0.019;1;0.019
8805C;0.012;0.033;0.955;0.033
8817C;0;0.024;1;0.024
8808C;0.114;0.154;0.734;0.154
8809C;0.07;0.101;0.794;0.101
8806C;0.045;0.072;0.856;0.072
8820C;0.012;0.017;0.963;0.017
8802C;0.048;0.094;0.675;0.094
8818C;0;0.039;1;0.039
8821C;0.053;0.086;0.878;0.086
8815C;0.032;0.06;0.877;0.06
8812C;0.009;0.03;0.971;0.03
8814C;0.099;0.134;0.639;0.134
8902C;0.06;0.087;0.753;0.087
8904C;0;0.018;1;0.018
8901C;0.034;0.048;0.878;0.048
9002C;0.112;0.201;0.26;0.201
9122C;0.033;0.055;0.869;0.055
9106C;0.065;0.089;0.749;0.089
9108C;0.167;0.169;0.407;0.169
9107C;0.259;0.312;0;0.312
9114C;0.076;0.096;0.707;0.096
9103C;0.099;0.119;0.562;0.119
9105C;0.121;0.176;0.221;0.176
9118C;0.062;0.082;0.713;0.082
9102C;0.064;0.086;0.692;0.086
9101C;0.064;0.08;0.809;0.08
9121C;0.064;0.088;0.721;0.088
9125C;0.114;0.116;0.503;0.116
9115C;0.03;0.049;0.865;0.049
9123C;0.119;0.112;0.467;0.112
9104C;0.169;0.214;0;0.214
9109C;0.037;0.056;0.859;0.056
9119C;0;0.004;1;0.004
9120C;0.206;0.249;0;0.249
9236C;0.093;0.107;0.574;0.107
9219C;0.12;0.135;0.59;0.135
9209C;0.213;0.26;0;0.26
9242C;0.091;0.115;0.642;0.115
9235C;0.119;0.196;0.458;0.196
9202C;0.258;0.29;0;0.29
9233C;0.115;0.141;0.525;0.141
9224C;0.098;0.141;0.375;0.141
9225C;0.104;0.203;0.385;0.203
9205C;0.081;0.114;0.65;0.114
9234C;0.103;0.092;0.579;0.092
9217C;0.18;0.27;0.143;0.27
9211C;0.162;0.197;0.527;0.197
9201C;0.237;0.272;0;0.272
9204C;0.113;0.121;0.311;0.121
9232C;0.08;0.105;0.67;0.105
9237C;0.136;0.159;0.52;0.159
9230C;0;0.273;0;0.273
9239C;0.172;0.184;0.195;0.184
9222C;0.106;0.217;0.126;0.217
9226C;0.212;0.239;0;0.239
9307C;0.255;0.286;0;0.286
9312C;0.182;0.232;0;0.232
9317C;0.393;0.403;0;0.403
9321C;0.186;0.227;0;0.227
9302C;0.106;0.132;0.587;0.132
9303C;0.142;0.146;0.413;0.146
9316C;0.116;0.157;0.46;0.157
9311C;0.238;0.317;0;0.317
9327C;0.113;0.137;0.53;0.137
9313C;0.09;0.097;0.592;0.097
9315C;0.09;0.11;0.555;0.11
9310C;0.24;0.269;0;0.269
9305C;0.055;0.064;0.797;0.064
9328C;0.072;0.087;0.797;0.087
9324C;0.041;0.039;0.856;0.039
9301C;0.097;0.123;0.641;0.123
9326C;0.1;0.123;0.701;0.123
9304C;0.104;0.125;0.589;0.125
9309C;0.089;0.142;0.471;0.142
9314C;0.044;0.062;0.829;0.062
9306C;0.09;0.111;0.626;0.111
9421C;0.034;0.051;0.854;0.051
9429C;0.217;0.244;0;0.244
9422C;0.044;0.047;0.809;0.047
9414C;0.009;0.025;0.965;0.025
9410C;0.061;0.079;0.734;0.079
9411C;0.071;0.096;0.75;0.096
9415C;0.058;0.077;0.74;0.077
9402C;0.066;0.076;0.715;0.076
9404C;0.17;0.205;0.247;0.205
9419C;0.082;0.103;0.62;0.103
9406C;0.067;0.09;0.779;0.09
9423C;0.068;0.095;0.777;0.095
9401C;0.072;0.094;0.718;0.094
9412C;0.105;0.126;0.556;0.126
9420C;0.049;0.067;0.8;0.067
9425C;0.081;0.099;0.618;0.099
9408C;0.006;0.011;0.983;0.011
9430C;0.014;0.005;0.996;0.005
9409C;0.008;0.024;0.967;0.024
9413C;0.024;0.04;0.903;0.04
9424C;0.088;0.112;0.596;0.112
9403C;0.136;0.166;0.633;0.166
9509C;0.054;0.064;0.783;0.064
9519C;0;0.004;1;0.004
9503C;0.093;0.111;0.651;0.111
9521C;0.212;0.239;0;0.239
9507C;0.077;0.101;0.671;0.101
9511C;0.218;0.274;0;0.274
9516C;0.221;0.249;0;0.249
9505C;0.217;0.25;0;0.25
9518C;0.018;0.024;0.906;0.024
9515C;0.21;0.252;0;0.252
9510C;0.165;0.189;0.216;0.189
9502C;0.062;0.076;0.733;0.076
9501C;0.115;0.264;0;0.264
9520C;0.278;0.312;0;0.312
9514C;0.097;0.118;0.568;0.118
0606F;0.063;0.106;0;0.106
0608F;0.016;0.028;0;0.028
1302F;0.014;0.026;0;0.026
1301F;0.011;0.021;0;0.021
1322F;0.073;0.121;0;0.121
3101F;0.011;0.021;0;0.021
3112F;0.011;0.022;0;0.022
3302F;0.008;0.017;0;0.017
3301F;0.017;0.032;0;0.032
3426F;0.015;0.028;0;0.028
3414F;0.013;0.024;0;0.024
3412F;0.01;0.02;0;0.02
3401F;0.073;0.09;0;0.09
3402F;0.013;0.024;0;0.024
3403F;0.013;0.024;0;0.024
3406F;0.013;0.025;0;0.025
3411F;0.01;0.02;0;0.02
3424F;0.014;0.027;0;0.027
3427F;0.009;0.022;0;0.022
3802F;0.014;0.026;0;0.026
4213F;0.013;0.024;0;0.024
5714F;0.008;0.017;0;0.017
6905F;0.011;0.022;0;0.022
7503F;0.007;0.015;0;0.015
7619F;0.098;0.16;0;0.16
8001F;0.043;0.073;0;0.073
8307F;0.013;0.025;0;0.025
9101F;0.032;0.055;0;0.055
9219F;0.014;0.026;0;0.026
9225F;0.013;0.024;0;0.024
9231F;0.011;0.021;0;0.021
9240F;0.011;0.026;0;0.026
9234F;0.011;0.023;0;0.023
9237F;0.01;0.021;0;0.021
9242F;0.011;0.026;0;0.026
9235F;0.022;0.039;0;0.039
9310F;0.053;0.089;0;0.089
9322F;0.006;0.013;0;0.013
9425F;0.009;0.019;0;0.019
9510F;0.01;0.02;0;0.02
